section,type,content
p,p,"Of course. As STRUCTMIND AI, I will generate a comprehensive lifting, rigging, and erection safety plan based on your project parameters and the requirements of OSHA 1926 Subpart R."
p,p,---
h3,h3,Steel Erection Safety Plan
p,p,Project: 3-Storey Steel Structure Erection Location: [Project Site Address] Date: [Date] Prepared By: STRUCTMIND AI (For Site Competent Person Review)
p,p,"Disclaimer: This document is a template and must be reviewed, modified, and approved by a qualified and competent person for the specific site conditions, personnel, and equipment involved in this project. All activities must comply with the manufacturer's recommendations and all applicable federal, state, and local regulations, including OSHA 1926 Subpart R."
p,p,---
h3,h3,1. Lifting Plan Notes
p,p,"This section details the parameters for crane operations, focusing on the critical picks."
li,li,"Heaviest Pick: Spandrel Girder Weight: 4.2 tons (8,400 lbs). Rigging Weight (Estimated): 400 lbs (spreader bar, slings, shackles). Total Load (Gross): 8,800 lbs."
li,li,Critical Pick Parameters: Crane Working Radius (Max): 70 ft. Load Dimensions: [Enter Girder Length x Width x Height].
li,li,"Crane Sizing & Selection: Crane Type (Proposed): 90-110 Ton All-Terrain or Hydraulic Truck Crane (Example). The final selection must be based on the specific crane's load chart. Load Chart Verification: The selected crane's load chart must show a capacity of at least 12,000 lbs at a 70 ft radius with the specified boom length and configuration. This provides a conservative safety margin over the 8,800 lb gross load. The operator must have the crane's load chart available at all times. The operator will not exceed 75% of the crane's rated capacity for any pick."
li,li,"Pre-Lift Requirements: Ground Conditions: Crane setup area must be inspected by a competent person. Ground must be firm, level, and graded. Crane mats (timber or composite) shall be used under outriggers to distribute the load if ground compaction is not certified to withstand the outrigger point loads. Pre-Lift Meeting: A daily pre-lift meeting will be held with the crane operator, signal person, riggers, and ironworkers involved. The meeting will cover the day's picks, communication methods, and potential hazards. Inspections: The crane will have a current annual inspection certificate. The operator will perform a documented daily inspection before the first lift. Weather: Lifts will be suspended if wind speeds exceed 25 mph (or a lower speed as specified by the crane manufacturer). All lifting operations will cease in the event of an electrical storm. An anemometer must be on-site."
p,p,---
h3,h3,2. Rigging Plan (For 4.2-ton Spandrel Girder)
p,p,This plan details the specific rigging assembly for the heaviest pick. All rigging gear must have legible capacity tags and be inspected daily by a qualified rigger.
li,li,Rigging Method: Two-point vertical pick using a spreader bar to prevent sling stress and member buckling.
li,li,"Rigging Components & Specifications: Spreader Bar (1): Type: Manufactured Spreader Bar. Required Capacity (WLL): Minimum 5 tons (10,000 lbs). Top Shackle (1): Type: Bolt-Type Anchor Shackle. Required Capacity (WLL): Minimum 6.5 tons (13,000 lbs) to connect the crane hook to the spreader bar. Slings (2): Type: Wire Rope Slings with softeners or Synthetic Web Slings. Required Capacity (WLL): Each sling must have a vertical hitch capacity of at least 2.5 tons (5,000 lbs). This accounts for each sling supporting half the load (4,200 lbs) with a safety margin. Lower Shackles (2): Type: Screw-Pin or Bolt-Type Shackles. Required Capacity (WLL): Minimum 3.25 tons (6,500 lbs) each, to connect slings to the girder's designated lifting points."
li,li,Rigging Procedure:
ol,ol,"The qualified rigger will inspect all components before assembly. Attach the top shackle to the crane hook and the spreader bar's center lifting eye. Ensure the shackle pin is properly secured. Attach the two slings to the spreader bar ends using the lower-rated shackles. Attach the slings to the girder's designated lifting points. Use softeners if wire rope slings are used on painted surfaces or sharp edges. Use two (2) taglines, attached at opposite ends of the girder, to control the load during the swing and placement. The signal person will have a clear line of sight to the load and the operator at all times."
p,p,---
h3,h3,3. Fall Protection Plan (OSHA 1926.760)
p,p,100% fall protection is mandatory for all personnel working at heights of 15 feet or more.
li,li,"Primary Fall Protection System: A Personal Fall Arrest System (PFAS) is the primary method. Components: Full-body harness, energy-absorbing lanyard or self-retracting lifeline (SRL), and a suitable anchor point. Anchor Points: Must be capable of supporting 5,000 lbs per person attached. Approved anchor points include structural members, engineered horizontal lifelines, and beam clamps specified for fall arrest. Do not anchor to joists or decking. Inspection: Each worker will inspect their PFAS daily before use."
li,li,"Connectors: Per OSHA 1926.760(b), connectors working between 15 and 30 feet (or two stories, whichever is less) may work without being tied off only while actively engaged in connecting and must have a PFAS available to tie off immediately after connecting. Above 30 feet, connectors must be tied off at all times."
