section,type,content
p,p,================================================================ SECTION 1 — FILE INVENTORY & DRAWING STATUS ================================================================
p,p,Table: Drawing Register
table-row,row,# | File / Sheet Name | Discipline | Rev | Status | Notes
table-row,row,1 | S0.01 | Structural | - | ✅ Readable | General Notes
table-row,row,2 | S0.02 | Structural | - | ✅ Readable | Typical Schedules & Details
table-row,row,3 | S0.03 | Structural | - | ✅ Readable | Special Inspections
table-row,row,4 | S1.01 | Structural | - | ✅ Readable | Foundation Plan
table-row,row,5 | S1.02 | Structural | - | ✅ Readable | Second Floor Framing Plan
table-row,row,6 | S1.03 | Structural | - | ✅ Readable | Typical Level Framing Plan (3rd & 4th)
table-row,row,7 | S1.04 | Structural | - | ✅ Readable | Roof Framing Plan
table-row,row,8 | S2.01 | Structural | - | ✅ Readable | Structural Wall Designation Plan
table-row,row,9 | S2.02 | Structural | - | ✅ Readable | CMU and Wood Stud Wall Framing Schedules
table-row,row,10 | S2.03 | Structural | - | ✅ Readable | CMU Reinforcement Elevations - Stair #1/Elevator
table-row,row,11 | S2.04 | Structural | - | ✅ Readable | CMU Reinforcement Elevations - Stair #2
table-row,row,12 | S3.01 | Structural | - | ✅ Readable | Foundation Sections
table-row,row,13 | S3.02 | Structural | - | ✅ Readable | Floor Framing Sections
table-row,row,14 | S3.03 | Structural | - | ✅ Readable | Roof Framing Sections
table-row,row,15 | S3.04 | Structural | - | ✅ Readable | Roof Framing Sections
table-row,row,16 | S3.05 | Structural | - | ✅ Readable | Canopy Framing Sections
table-row,row,17 | S3.06 | Structural | - | ✅ Readable | Trellis and Site Wall Details
p,p,State:
li,li,"Total files uploaded: 17 Total readable sheets: 17 Missing/unreferenced sheets: None noted within the provided set. Recommended action before detailing: Obtain Architectural and MEP drawings to coordinate steel interfaces, penetrations, and finishes. Issue RFIs for missing information as detailed in Sections 11 and 12."
p,p,================================================================ SECTION 2 — PROJECT IDENTITY & SYSTEM SUMMARY ================================================================
table-row,row,Field | Extracted Value | Source Sheet | Confidence
table-row,row,Project Name | HOME 2 - CAROWINDS | S0.01 | High
table-row,row,Project Number | 2024.023 | S0.01 | High
table-row,row,"Location / Address | Cabelas Dr. Fort Mill, South Carolina 29708 | S0.01 | High"
table-row,row,EOR (Structural Engineer) | Taylor & Viola Structural Engineers | S0.01 | High
table-row,row,Architect | rba. | S0.01 | High
table-row,row,General Contractor | Not Found in Provided Files | NF | High
table-row,row,Fabricator (if noted) | Not Found in Provided Files | NF | High
table-row,row,Approval Stage | Construction Documents | S0.01 | High
table-row,row,"Code of Record | 2021 IBC, AISC 360-16 | S0.01 | High"
table-row,row,Seismic Design Category | C | S0.03 | High
table-row,row,Wind Exposure Category | C | S0.01 | High
p,p,Structural System Summary:
li,li,"Primary system: Wood-framed bearing walls with engineered wood I-joist floors. CMU shear walls at stair/elevator cores. Lateral system: Wood shear walls and CMU shear walls. Floor system: Engineered wood I-joists with 3/4"" T&G sheathing and gypcrete topping. Some limited areas of structural steel framing (W-shapes). Roof system: Pre-engineered wood trusses with 3/4"" T&G sheathing. Foundation interface: Concrete shallow spread footings and slab on grade. Special conditions: Steel framed canopies and an exterior trellis structure. Steel lintels in CMU and steel headers in wood framing."
p,p,Approximate Tonnage Estimate:
li,li,"Primary steel: ~9.5 tons Secondary / misc: ~1.5 tons Total project: ~11.0 tons Confidence: Medium Basis: Counted from framing plans S1.02, details on S3.05, S3.06, and schedules on S0.02. High amount of repetition helps confidence, but lengths are estimated from grid dimensions."
p,p,================================================================ SECTION 3 — GRID & GEOMETRY AUDIT ================================================================
p,p,Table: Grid Line Inventory
table-row,row,Grid | Direction | Spacing | Sheet Found | Consistent Across Sheets? | Issues
table-row,row,A-G | North-South | Varies | S1.01 | Yes | None
table-row,row,"1-18 | East-West | 12'-10"" TYP. | S1.01 | Yes | None"
p,p,State:
li,li,"Grid origin confirmed: No / Not Shown Skew or angle grids present: No Sloped / cambered members noted: No — Camber is not specified for any steel members. Curved geometry noted: No Any grid conflicts between sheets: None observed. Grids are consistent across S1.01, S1.02, S1.03, and S1.04."
p,p,================================================================ SECTION 4 — MATERIAL GRADE NORMALIZATION ================================================================
p,p,Table: All Materials Found
table-row,row,Member Category | Raw Callout on Drawing | Normalized ASTM Grade | Source Sheet | Conflict? | Notes
table-row,row,Structural Steel Wide Flange Shapes | Structural Steel | ASTM A992 (Grade 50) | S0.01 | No | Explicitly stated in General Structural Notes
table-row,row,"Structural Steel HSS Shapes | HSS Shapes | ASTM A500, Grade C | S0.01 | No | Explicitly stated in General Structural Notes"
table-row,row,"Structural Steel Pipe Shapes | Structural Steel Pipe | ASTM A53, Grade B | S0.01 | No | Explicitly stated in General Structural Notes"
table-row,row,Structural Steel Channels/Angles | Structural Steel Misc. Shapes | ASTM A36 | S0.01 | No | Explicitly stated in General Structural Notes
table-row,row,Structural Steel Plates | Structural Steel Plates | ASTM A36 | S0.01 | No | Explicitly stated in General Structural Notes
table-row,row,"High Strength Bolts | High Strength Bolts | ASTM F3125, Grade A325 | S0.01 | No | U.N.O."
table-row,row,"Anchor Bolts | Anchor Rods | ASTM F1554, Grade 36 | S0.01 | No | U.N.O."
table-row,row,Weld Filler Metal | Not Found in Provided Files | ❌ Missing | NF | Yes | Required for detailing and fabrication.
p,p,Flag:
li,li,"Grade conflicts between BOM and general notes (e.g., A572-50 vs A36 U.N.O.): No conflicts found. Non-standard grades without spec reference: None found. Grades that differ between structural and architectural drawings: Architectural drawings not provided for comparison. Missing grades (mark ❌ Missing — cannot proceed): Weld filler metal spec is missing. Weld filler metal specification (E70XX / E71T-x / etc.) — flag if absent: Absent."
p,p,Normalized Grade Summary:
