section,type,content
h2,h2,1. FILE INVENTORY AND DRAWING STATUS
p,p,---
p,p,Drawing Register
p,p,Caption: Complete list of every uploaded file and its current status.
table-row,row,No. | File / Sheet Name | Discipline | Revision | Status | Notes
table-row,row,1 | S0.01_GENERAL NOTES.pdf | S | 04/26/2024 | READABLE | Issue date used as revision.
table-row,row,2 | S0.02_TYPICAL SCHEDULES & DETAILS.pdf | S | 04/26/2024 | READABLE | Issue date used as revision.
table-row,row,3 | S0.03_SPECIAL INSPECTIONS.pdf | S | 04/26/2024 | READABLE | Issue date used as revision.
table-row,row,4 | S1.01_FOUNDATION PLAN.pdf | S | 04/26/2024 | READABLE | Issue date used as revision.
table-row,row,5 | S1.02_SECOND FLOOR FRAMING PLAN.pdf | S | 04/26/2024 | READABLE | Issue date used as revision.
table-row,row,6 | S1.03_TYPICAL LEVEL FRAMING PLAN.pdf | S | 04/26/2024 | READABLE | Contains no structural steel.
table-row,row,7 | S1.04_ROOF FRAMING PLAN.pdf | S | 04/26/2024 | READABLE | Contains no structural steel.
table-row,row,8 | S2.01_STRUCTURAL WALL DESIGNATION PLAN.pdf | S | 04/26/2024 | READABLE | Contains no structural steel.
table-row,row,9 | S2.02_CMU AND WOOD STUD FRAMING SCHEDULES.pdf | S | 04/26/2024 | READABLE | Contains no structural steel.
table-row,row,10 | S2.03_CMU REINFORCEMENT ELEVATIONS - STAIR #1-ELEVATOR.pdf | S | 02/19/2024 | READABLE | WARNING: Issue date differs from rest of package.
table-row,row,11 | S2.04_CMU REINFORCEMENT ELEVATIONS - STAIR #2.pdf | S | 04/26/2024 | READABLE | Contains no structural steel.
table-row,row,12 | S3.01_FOUNDATION SECTIONS.pdf | S | 04/26/2024 | READABLE | Contains no structural steel.
table-row,row,13 | S3.02_FLOOR FRAMING SECTIONS.pdf | S | 04/26/2024 | READABLE | Contains no structural steel.
table-row,row,14 | S3.03_ROOF FRAMING SECTIONS.pdf | S | 04/26/2024 | READABLE | Contains no structural steel.
table-row,row,15 | S3.04_ROOF FRAMING SECTIONS.pdf | S | 04/26/2024 | READABLE | Contains no structural steel.
table-row,row,16 | S3.05_CANOPY FRAMING SECTIONS.pdf | S | 04/26/2024 | READABLE | Shows canopy by others.
table-row,row,17 | S3.06_TRELLIS AND SITE WALL DETAILS.pdf | S | 04/26/2024 | READABLE | Shows HSS8x6x3/8 trellis members.
p,p,Package Statistics
li,li,Total files uploaded: 17 Structural sheets: 17   Architectural: 0   Civil: 0   Other: 0 Unreadable or scanned sheets: NONE Sheets referenced but not uploaded: Architectural drawings are referenced for opening widths and other details but were not provided. Recommended action before beginning detail work: Obtain the full set of architectural drawings referenced in the structural notes. Resolve the conflicting issue date for sheet S2.03. Issue RFIs for all missing information identified in this report prior to modeling.
h2,h2,2. PROJECT IDENTITY AND SYSTEM SUMMARY
p,p,---
p,p,Project Identity Table
p,p,Caption: Key project data extracted directly from drawing title blocks and general notes.
table-row,row,Field | Extracted Value | Source Sheet | Status
table-row,row,Project Name | HOME 2 - CAROWINDS | S0.01 | FOUND
table-row,row,Project Number | 2024.023 | S0.01 | FOUND
table-row,row,"Location and Address | CABELAS DR, FORT MILL, SOUTH CAROLINA 29708 | S0.01 | FOUND"
table-row,row,"Owner | SAMARTH PATEL, NEELKANTH HOSPITALITY | S0.01 | FOUND"
table-row,row,General Contractor | NOT FOUND IN PROVIDED FILES | — | MISSING
table-row,row,Engineer of Record (Structural) | TAYLOR & VIOLA STRUCTURAL ENGINEERS | S0.01 | FOUND
table-row,row,Architect | rba. | S0.01 | FOUND
table-row,row,Fabricator (if noted) | NOT FOUND IN PROVIDED FILES | — | MISSING
table-row,row,Approval Stage | Construction Documents | S0.01 | FOUND
table-row,row,"Code of Record | 2021 IBC, AISC 360-16 | S0.01 | FOUND"
table-row,row,Seismic Design Category | C | S0.01 | FOUND
table-row,row,Wind Exposure Category | C | S0.01 | FOUND
p,p,Structural System Summary
li,li,"Primary structural system: Wood framing and load-bearing CMU walls. Structural steel is limited to isolated columns, lintels, and beams. Lateral force-resisting system: Wood shear walls and CMU shear walls. Floor system: Engineered wood I-joists with 3/4"" T&G sheathing. Roof system: Pre-engineered wood trusses with 3/4"" T&G sheathing. Foundation interface: Concrete spread footings and strip footings. Special conditions: AESS is not mentioned. Galvanizing is required for all bearing plates. Trellis structure noted."
p,p,Approximate Tonnage Estimate
li,li,"Primary structural steel: 2.97 t Secondary and miscellaneous steel: 0.96 t Combined project total: 3.93 t Basis: Member take-off from framing plans S1.01, S1.02, S3.06 and schedules on S0.02. Lintel lengths estimated based on typical opening sizes as architectural drawings are not provided."
h2,h2,3. GRID AND GEOMETRY AUDIT
p,p,---
p,p,Grid Line Inventory
p,p,Caption: All grid lines identified across uploaded structural sheets.
table-row,row,Grid | Direction | Spacing | Source Sheet | Consistent Across Sheets | Issues
table-row,row,"A, B, C, D, G | N-S | Varies | S1.01 | YES | —"
table-row,row,"1 - 18 | E-W | 12'-10"" typical | S1.01 | YES | —"
li,li,Grid origin confirmed: NO Skewed or angled grids present: NO Sloped or cambered members: NO Curved geometry present: NO Grid conflicts detected between sheets: NONE DETECTED
h2,h2,4. MATERIAL GRADE NORMALIZATION
p,p,---
p,p,All Material Grade Callouts Found
p,p,Caption: Raw grade callouts from drawings normalized to ASTM designations.
table-row,row,Member Category | Raw Callout | Normalized ASTM Grade | Source Sheet | Conflict | Notes
table-row,row,W-Shapes | Fy=50ksi | ASTM A992 Gr.50 | S0.01 | NO | —
table-row,row,Other Rolled Shapes | Fy=36ksi | ASTM A36 | S0.01 | NO | Applies to Angles.
table-row,row,"HSS | ASTM A500, GRADE B | ASTM A500 Gr.B | S0.01 | NO | Fy=46ksi for square, Fy=42ksi for rectangular."
table-row,row,Plates & Bars | Fy=36ksi | ASTM A36 | S0.01 | NO | —
table-row,row,"Anchor Bolts | ASTM F1554, GRADE 36 | ASTM F1554 Gr.36 | S0.01 | NO | —"
table-row,row,Bolts | ASTM A325 | ASTM F3125 Gr. A325 | S0.01 | WARNING | Type (N or X) not specified. RFI required.
table-row,row,Welded Studs | ASTM A108 | ASTM A108 | S0.01 | NO | —
table-row,row,Filler Metal | E70XX | E70XX | S0.01 | NO | —
p,p,Normalized Grade Summary
p,p,Caption: Final normalized material grades by structural category.
table-row,row,Category | Normalized Grade | Source | Status
table-row,row,W-Shapes | ASTM A992 Gr.50 | S0.01 | CONFIRMED
