section,type,content
p,p,"Acknowledged. As STRUCTMIND AI, I will provide optimal connection recommendations for your 3-storey SMF + OCBF mixed-use system. The analysis below is organized by frame type and connection location, referencing AISC 360-22 and relevant seismic provisions in AISC 341-22."
p,p,---
h3,h3,1. Special Moment Frame (SMF) Beam-to-Column Connections
p,p,These connections are designed to be ductile and dissipate seismic energy through controlled inelastic deformation (plastic hinging) in the beams. They must be prequalified per AISC 358.
li,li,"1. Recommended Connection Type: Reduced Beam Section (RBS) or ""Dogbone"" This is a prequalified, fully-restrained (FR) moment connection. A portion of the beam flanges is trimmed in a curved ""dogbone"" shape to create a fusible link, forcing the plastic hinge to form away from the column face. This protects the critical beam-to-column weld."
li,li,"2. Governing Limit States (per AISC 360-22 Chapter J and AISC 341-22 Chapter E): Primary Design Goal (Ductility): Flexural yielding of the beam gross section at the reduced section (this is the intended behavior, not a failure state). Beam: Shear yielding/rupture of the beam web; Local flange buckling and local web buckling at the hinge location. Connection Elements: Weld: Strength of the CJP groove weld connecting the beam flange to the column flange. Strength of the fillet or CJP weld for the beam web-to-shear tab connection. (Note: These are designated ""Demand Critical"" welds per AWS D1.8). Bolts (Web Connection): Bolt shear rupture; Bolt bearing on beam web and shear tab. Column: Panel Zone Shear Yielding (AISC 341 E3.6g): This is often a primary governing limit state. The column web panel must be strong and stiff enough to transfer moments. Doubler plates may be required. Strong Column-Weak Beam (AISC 341 E3.4a): The sum of column flexural strengths must exceed the sum of beam flexural strengths at the joint to prevent soft-story mechanisms. Continuity Plates (AISC 360 J10.8): Required to prevent column flange local bending and web local crippling."
li,li,3. Bolt / Weld Sizing Guidance: Bolts: Use high-strength ASTM F3125 Gr A325 or A490 bolts for the web connection. Design for the shear corresponding to the probable maximum moment (Mpr) of the beam at the plastic hinge. Welds: Beam flanges must be connected to the column flange with Complete Joint Penetration (CJP) groove welds. These are Demand Critical and require rigorous inspection (NDE/NDT).
li,li,"4. Constructability Score & Remarks: Score: 7/10 Remarks: The RBS cut is a standard CNC plasma or oxy-fuel cutting operation in the fabrication shop. However, the CJP field or shop welding requires highly skilled labor and extensive QA/QC. Erection requires careful alignment. Overall, it's a very common but technically demanding connection."
li,li,5. Alternate Solutions: Bolted Flange Plate (BFP) Connection: Plates are bolted to the top and bottom beam flanges and welded to the column. Reduces field welding but requires tight tolerances. Bolted End Plate (BFP) Connection: A stiffened end plate is shop-welded to the beam and then field-bolted to the column face. Very fast erection but requires heavy plates and large bolts.
p,p,---
h3,h3,2. OCBF & Gravity Beam-to-Column Connections
p,p,"These are designed as simple (pinned) connections, assumed to transfer shear only and allow for end rotation."
li,li,1. Recommended Connection Type: Single Plate Shear Connection (Shear Tab) A single plate is shop-welded to the column and field-bolted to the beam web. This is the modern industry standard due to its economy and ease of erection.
li,li,"2. Governing Limit States (per AISC 360-22, J4 & J5): Bolt Shear Rupture Bolt Bearing on the beam web and the plate Shear Yielding of the plate (gross section) Shear Rupture of the plate (net section) Flexural Yielding of the plate (at the weld line) Block Shear Rupture on the beam web Block Shear Rupture on the plate Weld Strength (plate-to-column)"
li,li,"3. Bolt / Weld Sizing Guidance: Bolts: ASTM F3125 Gr A325 in a bearing-type connection is standard. Size based on the beam's shear reaction. Use short-slotted holes in the plate to provide erection tolerance. Welds: Use standard fillet welds. Size for the shear reaction, ensuring it meets AISC minimums based on plate thickness."
li,li,"4. Constructability Score & Remarks: Score: 9/10 Remarks: Highly constructible. Fabrication is simple (one plate, one weld pass). Erection is fast and forgiving due to the single line of bolts and potential for slotted holes."
