section,type,content
h2,h2,1. FILE INVENTORY & DRAWING STATUS
p,p,---
p,p,Drawing Register
table-row,row,# | File / Sheet Name | Discipline | Rev | Status | Notes
table-row,row,1 | S0.01 | Structural | — | ✅ Readable | General Notes
table-row,row,2 | S0.02 | Structural | — | ✅ Readable | Typical Schedules & Details
table-row,row,3 | S0.03 | Structural | — | ✅ Readable | Special Inspections
table-row,row,4 | S1.01 | Structural | — | ✅ Readable | Foundation Plan
table-row,row,5 | S1.02 | Structural | — | ✅ Readable | Second Floor Framing Plan
table-row,row,6 | S1.03 | Structural | — | ✅ Readable | Typical Level Framing Plan (Reference)
table-row,row,7 | S1.04 | Structural | — | ✅ Readable | Roof Framing Plan
table-row,row,8 | S2.01 | Structural | — | ✅ Readable | Structural Wall Designation Plan
table-row,row,9 | S2.02 | Structural | — | ✅ Readable | CMU and Wood Stud Framing Schedules
table-row,row,10 | S2.03 | Structural | — | ✅ Readable | CMU Reinforcement Elevations - Stair #1/Elevator
table-row,row,11 | S2.04 | Structural | — | ✅ Readable | CMU Reinforcement Elevations - Stair #2
table-row,row,12 | S3.01 | Structural | — | ✅ Readable | Foundation Sections
table-row,row,13 | S3.02 | Structural | — | ✅ Readable | Floor Framing Sections
table-row,row,14 | S3.03 | Structural | — | ✅ Readable | Roof Framing Sections
table-row,row,15 | S3.04 | Structural | — | ✅ Readable | Roof Framing Sections
table-row,row,16 | S3.05 | Structural | — | ✅ Readable | Canopy Framing Sections
table-row,row,17 | S3.06 | Structural | — | ✅ Readable | Trellis and Site Wall Details
li,li,Status: ✅ Readable · ⚠️ Partial · ❌ Unreadable · 🔍 Referenced but Missing List every uploaded file — never group
p,p,Package Statistics
li,li,"Total files uploaded: 17 Structural sheets: 17 | Architectural: 0 | Civil: 0 | Other: 0 Unreadable / scanned: None Sheets referenced but not uploaded: Architectural drawings (for opening widths, canopy details, trellis layout) Recommended action before detailing: 📌 Obtain Architectural drawings for cross-referencing steel lintel lengths and canopy/trellis geometry. 📌 Issue RFIs for all missing critical dimensions (e.g., column lengths)."
h2,h2,2. PROJECT IDENTITY & SYSTEM SUMMARY
p,p,---
p,p,Project Identity Table
table-row,row,Field | Extracted Value | Source Sheet | Status
table-row,row,Project Name | HOME 2 - CAROWINDS | S0.01 | ✅ Found
table-row,row,Project Number | 2024.023 | S0.01 | ✅ Found
table-row,row,"Location / Address | Cabelas Dr, Fort Mill, South Carolina 29708 | S0.01 | ✅ Found"
table-row,row,Owner | Samarth Patel / Neelkanth Hospitality | S0.01 | ✅ Found
table-row,row,General Contractor | NOT FOUND IN PROVIDED FILES | — | 🚫 Not applicable / Not found
table-row,row,EOR (Structural Engineer) | Taylor & Viola Structural Engineers | S0.01 | ✅ Found
table-row,row,Architect | rba. | S0.01 | ✅ Found
table-row,row,Fabricator (if noted) | NOT FOUND IN PROVIDED FILES | — | 🚫 Not applicable / Not found
table-row,row,Approval Stage | CONSTRUCTION DOCUMENTS | S0.01 | ✅ Found
table-row,row,Code of Record | IBC 2018 / AISC 360-16 | S0.01 | ✅ Found
table-row,row,Seismic Design Category | SDC C | S0.01 | ✅ Found
table-row,row,Wind Exposure Category | C | S0.01 | ✅ Found
p,p,Structural System Summary
li,li,"Primary system: Wood-framed structure with CMU shear walls and stair/elevator cores. Lateral system: CMU shear walls and wood shear walls. Floor system: Engineered wood I-joists with 3/4"" T&G sheathing. Roof system: Pre-engineered wood trusses with 3/4"" T&G sheathing. Foundation interface: Concrete shallow foundations (spread footings and wall footings). Special conditions: Very limited structural steel scope consisting of columns, beams, and lintels supporting wood framing. Outdoor trellis structure."
p,p,Approximate Tonnage Estimate
