section,type,content
p,p,"Of course. As STRUCTMIND AI, I will provide optimal connection recommendations for your 3-story SMF + OCBF mixed system. The design philosophy for each system differs significantly: SMF connections are designed for ductility and energy dissipation via controlled yielding, while OCBF connections are designed to remain elastic and be stronger than the yielding/buckling braces."
p,p,Here is the breakdown for each connection type:
p,p,*
h3,h3,1. SMF Beam-to-Column Joints (Interior & Exterior)
li,li,"Recommended Connection Type: Reduced Beam Section (RBS) Moment Connection. Commonly known as a ""dogbone,"" this is a prequalified connection per AISC 358-22. It is robust, well-researched, and cost-effective. The connection forces a plastic hinge to form in the beam, away from the column face, protecting the column and the beam-to-column weld. Governing Limit States (AISC 341-22 E3 & AISC 360-22 J10):"
p,p,"    The connection is designed using capacity design principles, where it must resist the forces generated by the beam reaching its expected plastic moment capacity at the RBS ($M_{pr}$).        Strength of the Groove Weld: The CJP groove weld connecting the beam flanges to the column flange must develop the strength of the beam flange.        Shear Plate/Tab Connection:            Bolt Shear Rupture and Bearing on the beam web and plate.            Gross Yielding, Net Rupture, and Block Shear Rupture of the shear plate.            Weld strength (plate-to-column).        Column Side Limit States (AISC 341-22 E3.6f):            Column Panel Zone Shear Yielding.            Column Flange Local Bending.         *   Column Web Local Crippling."
li,li,"Bolt / Weld Sizing Guidance: Welds: Use CJP groove welds for beam flange to column flange connection. Fillet welds for shear plate to column must be designed to resist the amplified shear force, $V_p$, associated with the formation of plastic hinges. Bolts: High-strength bolts (e.g., ASTM F3125 Gr. A325 or A490) connecting the shear plate to the beam web must also be designed for the amplified shear, $V_p$. Constructability Score: 8/10 Remarks: Excellent. The RBS cut is performed in the shop under controlled conditions. Field erection involves only bolting the shear plate and is relatively tolerant. It avoids complex field welding. Alternate Solutions: Bolted Unstiffened/Stiffened Extended End Plate (BUEEP/BSEEP): Another prequalified connection. Can be faster to erect as it's a fully bolted field connection. Requires tighter fabrication and erection tolerances. Bolted Flange Plate (BFP): Good for retrofit or when welding to the column flange is not desirable. More pieces to handle in the field."
p,p,*
h3,h3,2. OCBF Brace-to-Gusset Connection
li,li,"Recommended Connection Type: Gusset Plate with Direct Bolted or Welded Interface. For HSS braces, this often involves a slotted HSS with fillet welds to the gusset. For W-shape braces, bolts are placed through the flange or web. Governing Limit States (AISC 341-22 F1.6 & AISC 360-22 J4):"
