section,type,content
p,p,"Of course. As STRUCTMIND AI, I will provide a detailed connection design advisory for your 3-storey SMF + OCBF mixed system."
p,p,"This analysis assumes the lateral force-resisting system (LFRS) is clearly delineated, with moment frames and braced frames in separate, defined lines. All seismic provisions reference AISC 341-22, and strength provisions reference AISC 360-22."
p,p,---
h3,h3,1. Beam-to-Column Joints (Special Moment Frame - SMF)
p,p,These connections are required to be highly ductile and must be prequalified per AISC 341-22 Chapter E.
li,li,"1. Recommended Connection Type: Reduced Beam Section (RBS) or ""Dogbone"""
p,p,"    This is often the most economical and widely used prequalified SMF connection. It strategically weakens the beam to force a ductile plastic hinge to form away from the column face, protecting the column and the critical beam flange groove welds."
li,li,2. Governing Limit States (per AISC 360-22 & 341-22):
p,p,"    The design philosophy is to ensure the connection is stronger than the yielding beam.        Beam: Flexural Yielding (Plastic Hinge Formation) at the RBS location is the intended behavior, not a failure limit state. Checks for flange and web local buckling (AISC 360, Chapter F) are critical.        Column: Panel Zone Shear Yielding (AISC 341, E3.6g) is often the governing limit state for the column, potentially requiring doubler plates or thicker column webs.        Column: Flexural strength of the column at the joint must satisfy the ""Strong Column-Weak Beam"" requirement (AISC 341, E3.4a).        Welds: The beam flange-to-column flange welds are Complete Joint Penetration (CJP) groove welds, classified as ""Demand Critical"" per AISC 341. Their strength is governed by the strength of the base metal.        Shear Tab & Bolts:            Bolt Shear Rupture (AISC 360, J3.6)            Bearing/Tearout on Beam Web & Shear Tab (AISC 360, J3.10)            Block Shear Rupture on Beam Web (AISC 360, J4.3)"
li,li,3. Bolt / Weld Sizing Guidance: Welds: Use CJP groove welds for beam flanges to the column flange. These must conform to AWS D1.8 (Seismic Supplement). The shear tab is connected to the column with fillet welds or CJP welds. Bolts: High-strength ASTM F3125 Gr. A325 or A490 (or their twist-off equivalents). Size for the shear resulting from 1.1$R_y$$M_p$/L_h (where L_h is distance between plastic hinges) plus gravity shear. Bearing-type connections are typical.
