section,type,content
h2,h2,CALCULATION MANIFEST — SINGLE SOURCE OF TRUTH
p,p,--- All locked input and output values for this estimate. Sections 1 and 7 copy from here.
table-row,row,Parameter | Value
table-row,row,AI-Extracted Fabricated Tonnage | 14.68 t
table-row,row,Material Type | Carbon Steel
table-row,row,Surface Treatment | Shop primer only
table-row,row,Assembly Complexity | Mixed bolt and weld
table-row,row,Material Factor | x1.00
table-row,row,Surface Factor | x1.00
table-row,row,Assembly Factor | x1.10
table-row,row,Composite Adjustment Factor | x1.10
table-row,row,"Fixed Rate — Low (USD per ton) | $3,500"
table-row,row,"Fixed Rate — Mid (USD per ton) | $4,000"
table-row,row,"Fixed Rate — High (USD per ton) | $4,500"
table-row,row,"Adjusted Rate — Low | $3,850"
table-row,row,"Adjusted Rate — Mid | $4,400"
table-row,row,"Adjusted Rate — High | $4,950"
table-row,row,Country | USA
table-row,row,Tax Rate Applied | 0%
table-row,row,"LOCK COST — LOW | $56,500"
table-row,row,"LOCK COST — MID | $64,600"
table-row,row,"LOCK COST — HIGH | $72,700"
p,p,All LOCK values are fixed for this entire document. Sections 1 and 7 copy these values exactly. No re-derivation after this point.
h2,h2,1. EXECUTIVE SUMMARY
p,p,--- Project cost summary at fixed rate band.
table-row,row,Metric | Value
table-row,row,Project Name or ID | HOME 2 - CAROWINDS
table-row,row,Country | USA
table-row,row,Total Fabricated Tonnage | 14.68 t
table-row,row,Material Type | Carbon Steel
table-row,row,Surface Treatment | Shop primer only
table-row,row,Assembly Complexity | Mixed bolt and weld
table-row,row,Composite Adjustment Factor | x1.10
table-row,row,"Fixed Rate Band Applied | $3,500 — $4,500 per ton"
table-row,row,Tax Rate | 0%
table-row,row,"Estimated Cost — Low (inc. tax) | $56,500"
table-row,row,"Estimated Cost — Mid (inc. tax) | $64,600"
table-row,row,"Estimated Cost — High (inc. tax) | $72,700"
table-row,row,"Cost per Fabricated Ton — Mid | $4,400 per ton"
p,p,"Top Three Commercial Risks: 1.  CRITICAL: Missing Lintel Scope: The quantity, sizes, and lengths of all W-beam and angle lintels (L1, L2, LLV types) are not provided and depend on unsupplied architectural drawings. This excluded scope could add 1-2 tons and a high piece count, impacting labor costs significantly. 2.  WARNING: Assumed Member Lengths: All column lengths were estimated from floor elevations on sheets S2.03 and S2.04. No explicit stick lengths are provided in the schedules on sheet S0.02, creating a tonnage risk. 3.  WARNING: Non-Standard & Unlisted Profiles: Profile HSS9x5x3/8 on sheet S1.02 is not a standard AISC section; mill availability and cost are unknown. Several other specified profiles are not in the standard AISC weight tables provided, requiring manual weight verification and potentially affecting material cost."
h2,h2,2. BASIS OF ESTIMATE
p,p,"--- Drawings reviewed: S0.01 (General Notes), S0.02 (Schedules & Details), S1.01 (Foundation Plan), S1.02 (Second Level Framing Plan), S1.04 (Roof Framing Plan), S3.06 (Trellis and Site Wall Details)."
p,p,Tonnage extraction method: (c) Estimated from framing plans where BOM is absent or incomplete. Member counts were taken from S1.01 and S1.02. Member lengths were estimated based on grid dimensions on S1.02 and floor elevations on S2.03/S2.04.
p,p,"Composite factor selection:   - Material (Carbon Steel): Explicitly specified on S0.01, Section 051200, Part 2.02 (ASTM A992 for W-shapes, A500 Gr. C for HSS, A36 for plates/angles).   - Surface (Shop primer only): Selected based on the general requirement on S0.01, Section 051200, Part 2.05 A. Galvanizing requirement for bearing plates (S0.02) noted but not applied globally as it affects a minor tonnage percentage.   - Assembly (Mixed bolt and weld): Inferred from typical connection details (1/S0.02 shows bolted connections) and standard fabrication practice for this building type. Beams will have shop-welded shear plates for field-bolted connections."
p,p,"Rate basis: Fixed rate band of $3,500 (low) to $4,500 (high) per fabricated ton applied. Midpoint rate of $4,000 per fabricated ton used for the headline cost. These rates represent current USA structural steel shop fabrication pricing for the member types and complexity class identified in this package."
p,p,Tax applied: 0% for USA.
p,p,"Global assumptions:   - Column lengths are assumed to be 14'-0"" (4,267 mm) based on elevations from S2.03.   - The quantity of steel for the trellis detailed on S3.06 is estimated (10 columns, 5 beams) as no plan view was provided.   - Profile HSS9x5x3/8 (S1.02) is assumed to be a typo; HSS10x4x3/8 was substituted for weight calculation.   - All W-beam and angle lintels from schedules on S0.02 are EXCLUDED from this estimate due to missing quantities and lengths."
h2,h2,3. MEMBER-BY-MEMBER TONNAGE TAKE-OFF
p,p,"--- Table 3A — Primary Structural Members Columns, primary beams, moment frames, transfer members, and lateral bracing."
table-row,row,No. | Type | Mark | Profile | Qty | Length (Imperial) | Length (mm) | Unit Wt (kg/m) | Est Weight (kg) | Est Weight (lb) | Grade | Source Sheet | Extraction Method
table-row,row,"1 | Beam | — | W14x22 | 34 | 12'-10"" | 3,912 | 32.7 | 4,342 | 9,573 | A992 | S1.02 | Plan Count"
table-row,row,"2 | Beam | — | W16x36 | 2 | 22'-9"" | 6,934 | 53.6 | 743 | 1,638 | A992 | S1.02 | Plan Count"
table-row,row,"3 | Beam | — | HSS18x6x3/8 | 1 | 45'-1"" | 13,741 | NOT IN TABLE | 967 | 2,132 | A500 Gr. C | S1.02 | Plan Count"
table-row,row,"4 | Beam | — | HSS18x6x3/8 | 2 | 29'-10"" | 9,093 | NOT IN TABLE | 1,280 | 2,822 | A500 Gr. C | S1.02 | Plan Count"
table-row,row,"5 | Beam | — | HSS18x6x3/8 | 1 | 35'-10"" | 10,922 | NOT IN TABLE | 769 | 1,695 | A500 Gr. C | S1.02 | Plan Count"
table-row,row,"6 | Column | C5 | HSS6x6x3/8 | 14 | Est. 14'-0"" | 4,267 | 33.1 | 1,979 | 4,363 | A500 Gr. C | S1.01, S0.02 | Estimated"
table-row,row,"7 | Column | C6 | HSS6x6x5/16 | 4 | Est. 14'-0"" | 4,267 | NOT IN TABLE | 483 | 1,065 | A500 Gr. C | S1.01, S0.02 | Estimated"
table-row,row,"8 | Column | C86 | HSS8x6x3/8 | 2 | Est. 14'-0"" | 4,267 | NOT IN TABLE | 399 | 880 | A500 Gr. C | S1.01, S0.02 | Estimated"
table-row,row,"9 | Column | — | HSS8x6x3/8 | 10 | Est. 10'-0"" | 3,048 | NOT IN TABLE | 1,427 | 3,146 | A500 Gr. C | S3.06 | Estimated"
table-row,row,"10 | Beam | — | HSS8x6x3/8 | 5 | Est. 13'-0"" | 3,962 | NOT IN TABLE | 927 | 2,044 | A500 Gr. C | S3.06 | Estimated"
p,p,"Table 3B — Secondary and Miscellaneous Members Secondary beams, purlins, girts, joists, bracing, stairs, handrails, and platforms."
table-row,row,No. | Type | Mark | Profile | Qty | Length (Imperial) | Length (mm) | Unit Wt (kg/m) | Est Weight (kg) | Est Weight (lb) | Grade | Source Sheet | Extraction Method
table-row,row,"11 | Header | — | HSS9x5x3/8 | 1 | 16'-11"" | 5,156 | NOT IN TABLE | 208 | 459 | A500 Gr. C | S1.02 | Plan Count"
table-row,row,"12 | Angle | — | L6x4x1/4 | 1 | 16'-11"" | 5,156 | NOT IN TABLE | 57 | 126 | A36 | S1.02 | Plan Count"
p,p,"Table 3C — Connection Material and Plates Shear plates, base plates, stiffeners, gusset plates, and embedded plates."
table-row,row,No. | Description | Thickness | Width | Length | Qty | Weight (kg) | Weight (lb) | Source Sheet | Extraction Method
table-row,row,"13 | C5 Base Plate | 3/4"" | 12"" | 12"" | 14 | 194 | 428 | S0.02 | Schedule"
table-row,row,"14 | C6 Base Plate | 1"" | 12"" | 12"" | 4 | 74 | 163 | S0.02 | Schedule"
table-row,row,"15 | C86 Base Plate | 1"" | 16"" | 16"" | 2 | 66 | 146 | S0.02 | Schedule"
table-row,row,"16 | C6 Cap Plate | 1/2"" | 6"" | 6"" | 4 | 9 | 20 | S0.02 | Estimated"
table-row,row,"17 | Trellis Base Plate | 1"" | 16"" | 16"" | 10 | 329 | 725 | S3.06 | Detail"
p,p,Table 3D — Tonnage Subtotals Consolidated weight by category feeding into the cost model.
table-row,row,Category | Count | Total Weight (kg) | Total Weight (lb) | Est. Tons
