section,type,content
h2,h2,CALCULATION MANIFEST — Single Source of Truth
p,p,---
table-row,row,Parameter | Value
table-row,row,AI-Extracted Tonnage | **9.20 t**
table-row,row,Material Type | Carbon Steel
table-row,row,Surface Treatment | Shop primer
table-row,row,Assembly Complexity | Mixed bolt-weld
table-row,row,Material Factor | ×1.00
table-row,row,Surface Factor | ×1.00
table-row,row,Assembly Factor | ×1.10
table-row,row,**Composite Factor** | **×1.10**
table-row,row,"Selected Rate (USD/ton) | **$5,500**"
table-row,row,"Adjusted Rate (USD/ton) | $6,050"
table-row,row,Country | USA
table-row,row,Tax % | 0%
table-row,row,Risk Buffer % | 15%
table-row,row,"**LOCK_COST_LOW** | **$60,800**"
table-row,row,"**LOCK_COST_MID** | **$64,000**"
table-row,row,"**LOCK_COST_HIGH** | **$67,200**"
p,p,> All LOCK values are fixed for this entire document. > Sections 1 and 7 copy these values exactly — no re-derivation.
h2,h2,1. EXECUTIVE SUMMARY
p,p,---
p,p,> LOCK COPY INSTRUCTION: Copy all values from MANIFEST — do not re-derive.
table-row,row,Metric | Value
table-row,row,Project Name / ID | HOME 2 - CAROWINDS
table-row,row,Country | USA
table-row,row,**Total Fabricated Tonnage** | **9.20 t**
table-row,row,Material Type | Carbon Steel
table-row,row,Surface Treatment | Shop primer
table-row,row,Assembly Complexity | Mixed bolt-weld
table-row,row,Composite Adjustment | ×1.10
table-row,row,"Selected Rate | $5,500 / ton"
table-row,row,"Adjusted Rate | $6,050 / ton"
table-row,row,Tax | 0%
table-row,row,"**Cost Range (USD, inc. tax)** | **$60,800 → $67,200**"
table-row,row,"**Headline Cost (Midpoint)** | **$64,000**"
table-row,row,"**Cost per Ton (Adjusted Mid)** | **$6,957 / ton**"
