section,type,content
p,p,"Acknowledged. As STRUCTMIND AI, I will provide optimal connection recommendations for a 3-storey SMF + OCBF mixed system. The recommendations prioritize performance, economy, and constructability, referencing AISC 360-22, AISC 341-22 (Seismic Provisions), and AISC 358-22 (Prequalified Connections)."
p,p,---
h3,h3,1. Beam-Column Joints (SMF System)
p,p,"These connections are part of the Special Moment Frame and must be highly ductile, accommodating significant inelastic rotation. Their design is governed by AISC 341 and AISC 358."
li,li,"Recommended Connection Type: Bolted End Plate (BSEP), specifically the 4-bolt or 8-bolt unstiffened extended configuration per AISC 358, Chapter 6. This is a robust, prequalified connection with excellent performance."
li,li,"Governing Limit States (AISC 360-22 & 358-22): Bolts: Bolt Tensile Rupture (J3.6) - Governs bolts near tension flange. Bolt Shear Rupture (J3.6) - Governs bolts near beam web. End Plate: Flexural Yielding of the End Plate (per AISC 358-22 eq. 6.8-1). Welds (Shop Welds): Strength of CJP groove weld at beam tension flange to end plate. Strength of fillet welds at beam web to end plate (J2.4). Column (Parent Member): Column Panel Zone Shear Yielding (J10.6) - Often critical in SMF design. Column Flange Local Bending (J10.1). Column Web Local Yielding (J10.2). Beam (Connected Member): The design intent is for the beam to form a plastic hinge. The connection must be designed to be stronger than the beam's expected plastic moment, Mpe = Cpr  Ry  Fy  Zx*."
li,li,"Bolt / Weld Sizing Guidance: Bolts: Use high-strength ASTM F3125 Gr. A325 or A490 bolts. Sizing is prescriptive per AISC 358 tables based on beam depth and flange thickness. Typically 1"" to 1-1/2"" diameter. Welds: Beam flanges are connected to the end plate with CJP groove welds. The beam web is connected with fillet welds designed to develop the full shear capacity of the web."
li,li,"Constructability Score: 8/10 Remarks: Excellent choice for constructability. All welding is performed in the controlled shop environment. Field erection involves only bolting, which is fast, tolerant, and requires standard inspection. Reduces field CJP welding and associated NDT costs/delays."
li,li,Alternate Solutions:
ol,ol,"Reduced Beam Section (RBS): A classic prequalified connection where portions of the beam flanges are trimmed to create a ""fuse"" away from the column face. Requires more complex shop fabrication. Welded Unreinforced Flange - Welded Web (WUF-W): The traditional field-welded moment connection. Constructability is lower (5/10) due to extensive field CJP welding, weather sensitivity, and rigorous UT inspection requirements."
p,p,---
h3,h3,2. Brace-to-Gusset Connection (OCBF System)
p,p,"This connection must transfer high axial forces from the brace into the frame and accommodate brace buckling out-of-plane. Design is governed by AISC 341, Chapter F."
li,li,"Recommended Connection Type: Bolted Extended Gusset Plate. The gusset plate is shop-welded to the beam/column, and the brace (typically HSS) is field-bolted to the gusset."
li,li,Governing Limit States (AISC 360-22 & 341-22):
p,p,"    The connection must be designed for the required strength, which is the lesser of the expected brace tensile strength (RyFyAg) or the maximum force that can be developed by the system.        Brace Member:            Tensile Rupture on Net Section (J4.1b).            Block Shear Rupture (J4.3).        Bolts:            Bolt Shear Rupture (J3.6).            Bolt Bearing on Brace and Gusset Plate (J3.10) - Often governs due to thinner HSS walls or gusset plates.        Gusset Plate:            Tensile Yielding on Whitmore Section (J4.1a).            Shear Yielding/Rupture on plate edges (J4.2).            Block Shear Rupture (J4.3).            Buckling of the Gusset Plate (J4.4) - The Uniform Force Method (UFM) and special geometric constraints from AISC 341 must be used. A clearance of at least 2t (where t* is gusset thickness) must be provided for brace buckling."
li,li,Bolt / Weld Sizing Guidance: Bolts: Size bolts to transfer the full required brace strength. Arrange bolt pattern to maximize block shear and bearing capacity. Welds: The shop welds connecting the gusset to the beam/column must also be designed to transfer the full required brace strength. Use balanced weld design to minimize eccentricity.
li,li,"Constructability Score: 9/10 Remarks: This is the industry standard for braced frames. It separates complex shop fabrication (welding) from simple field erection (bolting), leading to high speed and reliability on site. Detailing must be precise to ensure fit-up."
li,li,Alternate Solutions:
ol,ol,Welded Brace-to-Gusset: The brace is directly field-welded to the gusset. This lowers constructability (6/10) due to field welding complexity but can result in a more compact connection.
p,p,---
h3,h3,3. Column Base Plates
p,p,The base plate type depends on the framing system it supports. SMF columns require fixed bases; OCBF columns require bases that can transfer high uplift/compression and shear.
li,li,"Recommended Connection Type: For SMF Columns: Exposed Moment Base Plate. This base plate is designed as fixed, transferring moment, shear, and axial load into the foundation via anchor rods. For OCBF Columns: High-Axial Load Pinned Base. While idealized as ""pinned,"" it must resist significant tension (uplift) and compression from brace action, as well as frame shear."
