section,type,content
h2,h2,CALCULATION MANIFEST — SINGLE SOURCE OF TRUTH
p,p,--- All locked input and output values for this estimate. Sections 1 and 7 copy from here.
table-row,row,Parameter | Value
table-row,row,AI-Extracted Fabricated Tonnage | 37.08 t
table-row,row,Material Type | Carbon Steel
table-row,row,Surface Treatment | Shop primer only
table-row,row,Assembly Complexity | Mixed bolt and weld
table-row,row,Material Factor | x1.00
table-row,row,Surface Factor | x1.00
table-row,row,Assembly Factor | x1.10
table-row,row,Composite Adjustment Factor | x1.10
table-row,row,"Fixed Rate — Low (USD per ton) | $3,500"
table-row,row,"Fixed Rate — Mid (USD per ton) | $4,000"
table-row,row,"Fixed Rate — High (USD per ton) | $4,500"
table-row,row,"Adjusted Rate — Low | $3,850"
table-row,row,"Adjusted Rate — Mid | $4,400"
table-row,row,"Adjusted Rate — High | $4,950"
table-row,row,Country | USA
table-row,row,Tax Rate Applied | 0%
table-row,row,"LOCK COST — LOW | $142,800"
table-row,row,"LOCK COST — MID | $163,200"
table-row,row,"LOCK COST — HIGH | $183,500"
h2,h2,1. EXECUTIVE SUMMARY
p,p,--- Project cost summary at fixed rate band.
table-row,row,Metric | Value
table-row,row,Project Name or ID | HOME 2 - CAROWINDS
table-row,row,Country | USA
table-row,row,Total Fabricated Tonnage | 37.08 t
table-row,row,Material Type | Carbon Steel
table-row,row,Surface Treatment | Shop primer only
table-row,row,Assembly Complexity | Mixed bolt and weld
table-row,row,Composite Adjustment Factor | x1.10
table-row,row,"Fixed Rate Band Applied | $3,500 — $4,500 per ton"
table-row,row,Tax Rate | 0%
table-row,row,"Estimated Cost — Low (inc. tax) | $142,800"
table-row,row,"Estimated Cost — Mid (inc. tax) | $163,200"
table-row,row,"Estimated Cost — High (inc. tax) | $183,500"
table-row,row,"Cost per Fabricated Ton — Mid | $4,400 per ton"
p,p,"Top Three Commercial Risks: 1.  CRITICAL: All steel lintels (W-shapes and angles) are entirely unquantified. Schedules on S0.02 refer to Architectural drawings which were not provided. This uncosted scope could add 5-10 tons. 2.  CRITICAL: Column lengths are not specified in the Steel Column Schedule (S0.02). A full building height of 43'-0"" was assumed for all primary columns based on elevations. Incorrect lengths will significantly alter tonnage. 3.  WARNING: Several HSS profiles (HSS18x6x3/8, HSS9x5x3/8, HSS6x6x5/16, HSS6x6x5/8, HSS8x6x3/8) are not in the provided AISC unit weight table. Weights were sourced externally and require verification."
h2,h2,2. BASIS OF ESTIMATE
p,p,"--- Drawings reviewed: S0.01, S0.02, S1.01, S1.02, S1.03, S1.04, S2.01, S2.02, S2.03, S2.04, S3.01, S3.02, S3.03, S3.04, S3.05, S3.06."
p,p,"Tonnage extraction method: (c) Estimated from framing plans where BOM is absent or incomplete. All quantities and lengths for beams and columns were counted and scaled directly from framing plans S1.01 and S1.02. Schedules on S0.02 were used for member profiles and plate sizes but were critically incomplete, lacking quantities and lengths."
p,p,Composite factor selection:
li,li,"Material (Carbon Steel): Explicitly stated in General Notes on S0.01 (ASTM A992, A500, A36). Surface Treatment (Shop primer only): Stated as the primary finish in General Note 11 on S0.01. The requirement for galvanized bearing plates and zinc-rich primer on some beam ends is noted as a risk but assumed to be covered within the rate band. Assembly Complexity (Mixed bolt and weld): Assumed from various details. S0.02 shows a bolted Wind Post connection, while the Lintel Schedule implies welded bottom plates. Canopies and trellises (S3.05, S3.06) show a mix of shop-welded and field-bolted assemblies."
p,p,"Rate basis: Fixed rate band of $3,500 (low) to $4,500 (high) per fabricated ton applied. Midpoint rate of $4,000 per fabricated ton used for the headline cost. These rates represent current USA structural steel shop fabrication pricing for the member types and complexity class identified in this package."
p,p,Tax applied: 0% for USA.
p,p,Global assumptions:
li,li,"All column lengths are assumed based on building elevation data, as they are absent from schedules. Weights for HSS sections not in the provided reference table have been sourced from external AISC data. HSS9x5x3/8 on S1.02 is assumed to be a typo for a standard size; weight for HSS10x4x3/8 was used. Cap plates (1/2"" thick) are assumed for all HSS columns as none were specified."
h2,h2,3. MEMBER-BY-MEMBER TONNAGE TAKE-OFF
p,p,"--- Table 3A — Primary Structural Members Columns, primary beams, moment frames, transfer members, and lateral bracing."
table-row,row,No. | Type | Mark | Profile | Qty | Length (Imperial) | Length (mm) | Unit Wt (kg/m) | Est Weight (kg) | Est Weight (lb) | Grade | Source Sheet | Extraction Method
table-row,row,"1 | Beam | — | W14x22 | 30 | 12'-10"" | 3,912 | 32.7 | 3,838 | 8,462 | A992 | S1.02 | Plan Count"
table-row,row,"2 | Beam | — | W14x22 | 6 | 25'-2 1/2"" | 7,684 | 32.7 | 1,507 | 3,323 | A992 | S1.02 | Plan Count"
table-row,row,"3 | Beam | — | W16x36 | 1 | 16'-11"" | 5,156 | 53.6 | 276 | 608 | A992 | S1.02 | Plan Count"
table-row,row,"4 | Beam | — | HSS18x6x3/8 | 2 | 84'-4 7/8"" | 25,727 | NOT IN TABLE | 3,628 | 8,000 | A500 | S1.02 | Plan Count"
table-row,row,"5 | Beam | — | HSS18x6x3/8 | 2 | 85'-7 5/8"" | 26,102 | NOT IN TABLE | 3,680 | 8,114 | A500 | S1.02 | Plan Count"
table-row,row,"6 | Column | C5A | HSS6x6x5/16 | 8 | Est. 43'-0"" | 13,106 | NOT IN TABLE | 2,999 | 6,612 | A500 | S1.01, S0.02 | Plan Count"
table-row,row,"7 | Column | C5 | HSS6x6x3/8 | 34 | Est. 43'-0"" | 13,106 | 33.1 | 14,756 | 32,532 | A500 | S1.01, S0.02 | Plan Count"
table-row,row,"8 | Column | C6 | HSS6x6x5/8 | 4 | Est. 43'-0"" | 13,106 | NOT IN TABLE | 2,176 | 4,797 | A500 | S1.01, S0.02 | Plan Count"
table-row,row,"9 | Column | C86 | HSS8x6x3/8 | 2 | Est. 14'-0"" | 4,267 | NOT IN TABLE | 323 | 712 | A500 | S1.02, S3.06 | Plan Count"
table-row,row,"10 | Column | — | HSS8x8x3/8 | 2 | Est. 14'-0"" | 4,267 | 44.9 | 383 | 844 | A500 | S1.02, S3.05 | Plan Count"
p,p,"Table 3B — Secondary and Miscellaneous Members Secondary beams, purlins, girts, joists, bracing, stairs, handrails, and platforms."
table-row,row,No. | Type | Mark | Profile | Qty | Length (Imperial) | Length (mm) | Unit Wt (kg/m) | Est Weight (kg) | Est Weight (lb) | Grade | Source Sheet | Extraction Method
table-row,row,"11 | Beam | — | HSS9x5x3/8 | 2 | 16'-11"" | 5,156 | NOT IN TABLE | 416 | 917 | A500 | S1.02 | Plan Count"
table-row,row,"12 | Beam | — | HSS6x4x1/4 | 1 | 4'-2 3/4"" | 1,289 | 18.0 | 23 | 51 | A500 | S1.02 | Plan Count"
table-row,row,"13 | Beam | — | HSS8x6x3/8 | 1 | 13'-0"" | 3,962 | NOT IN TABLE | 150 | 331 | A500 | S3.06 | Detail"
table-row,row,"14 | Beam | — | W8x15 | 2 | 25'-2 1/2"" | 7,684 | 22.3 | 342 | 754 | A992 | S3.05 | Detail"
table-row,row,"15 | Purlin | — | HSS6x4x1/4 | 4 | 11'-0"" | 3,353 | 18.0 | 241 | 531 | A500 | S3.05 | Detail"
p,p,"Table 3C — Connection Material and Plates Shear plates, base plates, stiffeners, gusset plates, and embedded plates."
table-row,row,No. | Description | Thickness | Width | Length | Qty | Weight (kg) | Weight (lb) | Source Sheet | Extraction Method
table-row,row,"16 | C5A Base Plate | 3/4"" | 12"" | 12"" | 8 | 111 | 245 | S0.02 | Schedule"
table-row,row,"17 | C5 Base Plate | 3/4"" | 12"" | 12"" | 34 | 472 | 1,041 | S0.02 | Schedule"
table-row,row,"18 | C6 Base Plate | 1"" | 12"" | 12"" | 4 | 73 | 161 | S0.02 | Schedule"
table-row,row,"19 | Trellis Base Plate | 1"" | 16"" | 16"" | 2 | 65 | 143 | S3.06 | Detail"
table-row,row,"20 | Canopy Base Plate | 1"" | 14"" | 14"" | 2 | 50 | 110 | S3.05 | Detail"
