section,type,content
h3,h3,"MASTER INTAKE AUDIT: 3-STOREY OFFICE TOWER (DENVER, CO)"
p,p,*
h3,h3,A. EXECUTIVE SUMMARY
p,p,"This audit covers the structural and miscellaneous steel package for a three-story, 220-ton commercial office building in Denver, CO. The structural system is a composite deck over steel framing with moment frames and HSS concentric braced frames. The project's primary risks are the tight tolerances required for the 5'-6"" long anchor bolts and achieving the specified AESS Category 2 finish on lobby columns. The primary opportunity lies in the repetitive framing, which is well-suited for automated fabrication, enabling potential schedule compression if anchor bolt and AESS risks are managed proactively through early coordination."
h3,h3,B. DETAILING LAYER
p,p,#### Drawing Index A complete drawing index is pending receipt of the full design set. The preliminary scope is defined by the following representative sheets:
table-row,row,Sheet # | Title
table-row,row,G-001 | General Notes & Specs
table-row,row,S-100 | Foundation & Anchor Plan
table-row,row,S-201 | 2nd Floor Framing Plan
table-row,row,S-202 | 3rd Floor Framing Plan
table-row,row,S-203 | Roof Framing Plan
table-row,row,S-301 | Building Elevations
table-row,row,S-501 | Connection Details
table-row,row,A-101 | Architectural Lobby Plan
table-row,row,A-501 | Architectural Lobby Detail
p,p,"#### Piece-Marking Scheme A standard alpha-numeric scheme will be implemented: B (Beams), C (Columns), G (Girders), BR (Braces), P (Plates), L (Angles), XG (Stair Stringers). AESS members will receive a distinct prefix (AC)."
p,p,"#### Anchor Schedule Anchor bolts are unusually long, requiring strict embedment and location tolerance control. Coordination with the concrete contractor is critical. A dedicated anchor bolt setting plan is required."
table-row,row,Col Mark | Base Plate Size | Anchor Bolt Spec. | Projection | Grout | Qty | Sheet Ref.
table-row,row,"C1 | PL 2"" x 2'-4"" x 2'-4"" | (8) 1-1/2"" Ø F1554 Gr. 55, L=5'-6"", H.D. Galv. | 6"" | 2"" | 12 | S-100"
table-row,row,"C2 | PL 1-3/4"" x 1'-10"" x 1'-10"" | (4) 1-1/4"" Ø F1554 Gr. 55, L=4'-0"", H.D. Galv. | 5"" | 1.5"" | 16 | S-100"
