section,type,content
p,p,"Greetings. I am STRUCTMIND AI. Based on the provided 3-storey SMF (Special Moment Frame) + OCBF (Ordinary Concentrated Braced Frame) mixed system, I will provide optimal connection recommendations. My analysis prioritizes seismic performance, code compliance (AISC 360-22 / 341-22), and erectability."
p,p,"The mixed-system approach implies SMF lines will act as the primary ductile system for drift control and energy dissipation, while the OCBF lines will provide significant stiffness and strength. Connections must be designed accordingly."
p,p,---
h3,h3,1. Beam-Column Interior Joints (SMF Line)
p,p,These connections are critical for the ductile performance of the moment frame and must accommodate large inelastic rotations.
li,li,1.1. Recommended Connection Type:
p,p,"    Bolted Flange Plate (BFP) Moment Connection. This is a prequalified connection per AISC 358-22. It is chosen for its high ductility and superior constructability, as it eliminates field welding of the moment-resisting elements."
li,li,"1.2. Governing Limit States (AISC 360-22, Chapter J): Shear Transfer (via Shear Tab): Bolt Shear Strength (J3.6) Bolt Bearing/Tearout on Beam Web and Plate (J3.10) Shear Yielding of the Plate (J4.2(a)) Shear Rupture of the Plate (J4.2(b)) Block Shear Rupture of the Plate (J4.3) Weld Strength (Shear Tab to Column Flange) (J2.4) Moment Transfer (via Flange Plates): Tensile Yielding of the Flange Plates (J4.1(a)) Tensile Rupture of the Flange Plates (J4.1(b)) Block Shear Rupture of the Flange Plates (J4.3) Bolt Shear Strength (J3.6) Bolt Bearing on Flange Plates and Beam Flange (J3.10) Seismic Checks (AISC 341-22): Connection must be designed for the Probable Maximum Moment (Mpr) of the beam. Column Panel Zone Shear Strength (E3.6f) is often a governing check."
li,li,"1.3. Bolt / Weld Sizing Guidance: Bolts: Use high-strength ASTM F3125 Gr. A490 bolts for the flange plates. These must be installed as pretensioned and slip-critical to prevent slippage under load reversal. Shear tab bolts can be Gr. A325 installed snug-tight. Welds: The shear tab-to-column flange connection should be made with a CJP (Complete Joint Penetration) weld or double-sided fillet welds sized for the full shear demand. These are considered ""demand critical"" welds requiring stringent inspection."
li,li,1.4. Constructability Score & Remarks: Score: 8/10 Remarks: Excellent choice for speeding up erection. All field work is bolting. Fabrication is straightforward but requires good tolerance control for bolt hole alignment. Eliminates costly and time-consuming field CJP welding and associated inspections.
li,li,"1.5. Alternate Solutions: Reduced Beam Section (RBS): The classic ""dog-bone"" cut. Excellent, well-documented performance. Requires more precise fabrication and can sometimes interfere with floor decking or MEP. Welded Unreinforced Flange - Welded Web (WUF-W): A fully welded option. Very robust but has the lowest constructability score due to extensive field welding, inspection (UT), and weather sensitivity."
p,p,---
h3,h3,2. Brace-to-Gusset Connection (OCBF Line)
p,p,This connection's primary function is to transfer large axial forces (tension and compression) from the brace into the frame.
li,li,2.1. Recommended Connection Type:
p,p,"    Bolted Brace to Welded Gusset Plate. An HSS brace is bolted directly to a gusset plate, which is in turn welded to the beam and/or column. This is the industry standard for efficiency and reliability."
li,li,"2.2. Governing Limit States (AISC 360-22, Chapter J): Brace: Tensile Yielding (D2a), Tensile Rupture (D2b), Block Shear Rupture (J4.3), Compressive Strength (E3/E4). Gusset Plate: Whitmore Section Yielding and Buckling (J4.4) Block Shear Rupture at the brace interface (J4.3) Gusset Plate Edge Buckling (AISC Design Guide 29) Bolts: Bolt Shear Strength (J3.6), Bolt Bearing/Tearout on Brace and Gusset (J3.10). Welds (Gusset to Frame): Weld strength (J2.4), designed to resist the force resultant determined by the Uniform Force Method (UFM)."
li,li,"2.3. Bolt / Weld Sizing Guidance: Bolts: ASTM F3125 Gr. A325 bolts are typically sufficient. Since this is a bearing connection, they can be installed snug-tight. Bolt layout should be compact to minimize gusset size. Welds: Use fillet welds to connect the gusset to the beam/column flanges. Weld size is often 5/16"" or 3/8"" and can be determined directly from the UFM analysis."
li,li,"2.4. Constructability Score & Remarks: Score: 9/10 Remarks: Highly constructible. This is a standard, repeatable connection that fabricators and erectors are very familiar with. The main consideration is providing adequate clearance for tightening the bolts."
li,li,2.5. Alternate Solutions: End Plate Brace Connection: Can simplify gusset design but requires more fabrication on the brace itself and tighter tolerances. Not as common for standard OCBF systems. Pinned Connection: Using a single large pin can be effective but is generally more complex and expensive to fabricate.
p,p,---
h3,h3,3. Column Base Plates
p,p,The base plate design depends entirely on its location within the mixed system.
